Hectares ,Agriblock,Variety,Soil Types,Seedrate(in Kg),LP_Mainfield(in Tonnes),Nursery,Nursery area (Cents),LP_nurseryarea(in Tonnes),DAP_20days,Weed28D_thiobencarb,Urea_40Days,Potassh_50Days,Micronutrients_70Days,Pest_60Day(in ml),30DRain( in mm),30DAI(in mm),30_50DRain( in mm),30_50DAI(in mm),51_70DRain(in mm),51_70AI(in mm),71_105DRain(in mm),71_105DAI(in mm),Min temp_D1_D30,Max temp_D1_D30,Min temp_D31_D60,Max temp_D31_D60,Min temp_D61_D90,Max temp_D61_D90,Min temp_D91_D120,Max temp_D91_D120,Inst Wind Speed_D1_D30(in Knots),Inst Wind Speed_D31_D60(in Knots),Inst Wind Speed_D61_D90(in Knots),Inst Wind Speed_D91_D120(in Knots),Wind Direction_D1_D30,Wind Direction_D31_D60,Wind Direction_D61_D90,Wind Direction_D91_D120,Relative Humidity_D1_D30,Relative Humidity_D31_D60,Relative Humidity_D61_D90,Relative Humidity_D91_D120,Trash(in bundles),Paddy yield(in Kg)
6.0,Sankarapuram,ponmani,alluvial,150.0,,dry,120.0,6.0,240.0,12.0,162.78,62.28,,3600.0,18.1,,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32.0,17.5,28.0,,34.0,16.5,35.0,10.0,,10.0,,SSE,W,SW,NW,72.7,91.0,83.0,81.0,600.0,
6.0,Chinnasalem,delux ponni,CLAY,150.0,75.0,dry,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,18.0,31.0,15.5,34.0,15.0,33.0,15.0,31.5,6.0,6.0,8.0,10.0,E,ENE,,NNW,78.6,80.0,92.0,88.0,480.0,38496.0
6.0,Cuddalore,CO_43,clay,150.0,75.0,dry,120.0,6.0,240.0,12.0,162.78,62.28,,3600.0,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34.0,16.0,30.0,15.5,31.0,16.0,33.0,4.0,10.0,8.0,10.0,,W,NNW,WSW,72.0,78.0,88.0,85.0,540.0,35496.0
6.0,Kurinjipadi,delux ponni,clay,150.0,75.0,dry,120.0,,240.0,12.0,162.78,62.28,90.0,3600.0,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34.0,18.5,35.0,17.0,32.5,16.0,30.5,10.0,4.0,10.0,6.0,NW,S,SE,SSE,64.6,85.0,84.0,,480.0,37362.0
6.0,Panruti,ponmani,alluvial,150.0,75.0,dry,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,20.0,35.0,18.0,30.0,17.5,33.5,18.0,33.0,4.0,12.0,4.0,12.0,ENE,NE,NNE,W,85.0,96.0,,79.0,600.0,33462.0
6.0,Kallakurichi,ponmani,clay,150.0,75.0,DRY,120.0,6.0,240.0,,162.78,62.28,,3600.0,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,,33.0,17.0,32.0,16.5,31.5,15.5,32.5,8.0,6.0,8.0,6.0,W,WNW,SE,S,88.5,95.0,81.0,84.0,600.0,33804.0
,,ponmani,clay,150.0,75.0,dry,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,18.1,21.9,185.6,272.4,,250.9,60.2,64.8,20.5,32.0,17.5,28.0,18.0,34.0,16.5,35.0,10.0,12.0,10.0,12.0,SSE,W,SW,NW,72.7,91.0,,81.0,600.0,35538.0
6.0,Chinnasalem,ponmani,alluvial,150.0,75.0,dry,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,18.0,31.0,15.5,34.0,15.0,33.0,15.0,31.5,6.0,6.0,8.0,10.0,E,ENE,NE,NNW,78.6,80.0,92.0,,600.0,34524.0
6.0,Cuddalore,,,150.0,75.0,DRY,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34.0,16.0,30.0,,,16.0,,,10.0,8.0,10.0,SW,W,,WSW,72.0,78.0,88.0,,540.0,
6.0,Kurinjipadi,ponmani,alluvial,150.0,75.0,dry,120.0,,240.0,12.0,162.78,62.28,90.0,3600.0,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34.0,18.5,35.0,17.0,32.5,16.0,30.5,10.0,4.0,10.0,6.0,NW,S,SE,SSE,64.6,85.0,84.0,87.0,600.0,34518.0
6.0,,ponmani,alluvial,150.0,75.0,dry,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,18.5,,185.2,272.8,165.3,251.7,60.0,,20.0,35.0,18.0,30.0,17.5,33.5,18.0,33.0,,12.0,4.0,12.0,ENE,NE,NNE,W,85.0,96.0,84.0,79.0,600.0,35040.0
6.0,Kallakurichi,PONMANI,alluvial,150.0,75.0,dry,120.0,,240.0,12.0,162.78,62.28,,3600.0,18.5,21.5,185.2,272.8,165.3,,60.0,65.0,19.0,33.0,17.0,32.0,16.5,31.5,,32.5,,6.0,8.0,6.0,W,,SE,S,88.5,95.0,81.0,84.0,600.0,33762.0
6.0,Sankarapuram,DELUX PONNI,alluvial,150.0,75.0,dry,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,18.1,21.9,185.6,272.4,,250.9,60.2,64.8,20.5,32.0,17.5,28.0,18.0,34.0,16.5,35.0,10.0,12.0,10.0,,SSE,W,SW,NW,72.7,91.0,,81.0,480.0,38172.0
6.0,Chinnasalem,DELUX PONNI,alluvial,150.0,75.0,dry,120.0,6.0,,12.0,162.78,62.28,90.0,3600.0,18.1,21.9,185.6,,166.1,250.9,60.2,64.8,18.0,31.0,15.5,34.0,15.0,33.0,15.0,31.5,6.0,6.0,8.0,10.0,,ENE,NE,NNW,78.6,80.0,92.0,88.0,480.0,37062.0
6.0,Cuddalore,delux ponni,clay,150.0,,,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,19.6,,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34.0,16.0,30.0,15.5,31.0,16.0,33.0,,10.0,8.0,10.0,SW,W,NNW,WSW,72.0,78.0,88.0,85.0,480.0,37716.0
6.0,,ponmani,,150.0,75.0,dry,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,19.6,20.4,187.2,270.8,167.0,250.0,,64.0,19.5,34.0,18.5,35.0,17.0,32.5,16.0,30.5,10.0,4.0,10.0,6.0,NW,S,SE,,64.6,85.0,84.0,87.0,600.0,36000.0
6.0,Panruti,delux ponni,clay,150.0,,dry,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,20.0,35.0,18.0,30.0,17.5,33.5,,33.0,4.0,12.0,4.0,12.0,ENE,NE,NNE,W,85.0,96.0,84.0,79.0,480.0,36906.0
6.0,Kallakurichi,CO_43,clay,150.0,75.0,dry,120.0,6.0,240.0,,162.78,62.28,90.0,3600.0,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33.0,17.0,,16.5,,15.5,32.5,8.0,6.0,8.0,,W,,SE,S,88.5,,81.0,84.0,540.0,35556.0
6.0,,delux ponni,clay,150.0,75.0,dry,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,18.1,21.9,,272.4,166.1,250.9,60.2,64.8,20.5,32.0,17.5,28.0,18.0,34.0,16.5,,10.0,,10.0,12.0,,W,SW,NW,72.7,91.0,83.0,81.0,480.0,37134.0
6.0,Chinnasalem,delux ponni,clay,150.0,75.0,dry,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,18.1,21.9,185.6,272.4,166.1,,60.2,64.8,18.0,31.0,15.5,34.0,15.0,33.0,15.0,31.5,6.0,6.0,8.0,10.0,E,ENE,NE,NNW,78.6,,92.0,88.0,480.0,38178.0
6.0,Cuddalore,CO_43,clay,150.0,75.0,dry,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34.0,16.0,30.0,15.5,31.0,16.0,33.0,4.0,10.0,,10.0,SW,W,NNW,WSW,,78.0,88.0,85.0,540.0,35298.0
6.0,Kurinjipadi,ponmani,clay,150.0,75.0,wet,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,19.6,20.4,187.2,270.8,167.0,250.0,,64.0,19.5,34.0,18.5,35.0,17.0,32.5,16.0,30.5,10.0,4.0,10.0,6.0,NW,S,SE,SSE,64.6,85.0,84.0,87.0,600.0,34218.0
6.0,Panruti,delux ponni,alluvial,150.0,75.0,wet,120.0,6.0,240.0,12.0,162.78,,90.0,3600.0,,21.5,185.2,272.8,165.3,251.7,60.0,65.0,20.0,35.0,18.0,,17.5,33.5,18.0,33.0,4.0,12.0,4.0,12.0,ENE,NE,NNE,W,85.0,96.0,84.0,79.0,480.0,36552.0
6.0,Kallakurichi,CO_43,alluvial,150.0,,wet,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,18.5,21.5,,272.8,165.3,,60.0,65.0,19.0,33.0,17.0,32.0,16.5,31.5,15.5,32.5,8.0,6.0,8.0,6.0,W,WNW,SE,S,88.5,95.0,81.0,84.0,540.0,35592.0
6.0,Sankarapuram,ponmani,alluvial,150.0,75.0,wet,,,240.0,12.0,162.78,62.28,90.0,,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32.0,17.5,28.0,18.0,34.0,16.5,35.0,10.0,12.0,10.0,12.0,SSE,W,SW,NW,72.7,91.0,83.0,81.0,600.0,33162.0
,Chinnasalem,DELUX PONNI,alluvial,150.0,75.0,,120.0,6.0,240.0,12.0,162.78,,90.0,3600.0,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,18.0,31.0,15.5,34.0,15.0,,15.0,31.5,6.0,6.0,8.0,10.0,E,ENE,NE,NNW,78.6,80.0,92.0,88.0,480.0,37152.0
6.0,Cuddalore,CO_43,alluvial,150.0,75.0,wet,120.0,6.0,240.0,,162.78,62.28,90.0,3600.0,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34.0,16.0,30.0,15.5,31.0,16.0,33.0,4.0,10.0,8.0,10.0,SW,W,NNW,,72.0,78.0,88.0,85.0,540.0,34338.0
6.0,Kurinjipadi,delux ponni,alluvial,150.0,75.0,wet,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34.0,18.5,35.0,17.0,32.5,16.0,30.5,10.0,4.0,10.0,6.0,NW,S,SE,SSE,64.6,85.0,84.0,87.0,480.0,
6.0,Panruti,ponmani,ALLUVIAL,150.0,75.0,wet,120.0,6.0,240.0,12.0,,62.28,90.0,3600.0,,21.5,185.2,272.8,165.3,251.7,,65.0,20.0,35.0,,30.0,17.5,33.5,,,4.0,12.0,4.0,12.0,ENE,NE,NNE,W,85.0,96.0,84.0,79.0,600.0,33768.0
6.0,,CO_43,alluvial,150.0,75.0,wet,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33.0,,32.0,16.5,31.5,15.5,32.5,8.0,6.0,8.0,6.0,W,WNW,SE,S,88.5,95.0,81.0,84.0,,34680.0
6.0,,ponmani,clay,150.0,75.0,wet,120.0,,240.0,12.0,,62.28,90.0,3600.0,18.1,21.9,185.6,,166.1,250.9,,64.8,20.5,32.0,17.5,28.0,18.0,34.0,16.5,35.0,10.0,12.0,10.0,12.0,SSE,W,SW,NW,72.7,91.0,83.0,81.0,600.0,33864.0
6.0,Chinnasalem,delux ponni,clay,150.0,75.0,wet,120.0,6.0,240.0,12.0,,62.28,90.0,3600.0,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,18.0,31.0,15.5,34.0,15.0,33.0,15.0,31.5,6.0,6.0,8.0,10.0,E,ENE,NE,NNW,78.6,80.0,92.0,,,38508.0
6.0,Cuddalore,CO_43,clay,150.0,,wet,120.0,6.0,240.0,,162.78,,,3600.0,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34.0,16.0,30.0,15.5,31.0,16.0,33.0,4.0,10.0,8.0,10.0,SW,W,NNW,WSW,72.0,,88.0,85.0,540.0,35238.0
6.0,Kurinjipadi,ponmani,CLAY,150.0,75.0,dry,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,19.6,20.4,187.2,270.8,,250.0,61.0,64.0,19.5,34.0,18.5,,17.0,32.5,16.0,30.5,10.0,4.0,10.0,6.0,,S,SE,SSE,64.6,85.0,84.0,87.0,600.0,35298.0
6.0,Panruti,delux ponni,clay,150.0,75.0,dry,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,20.0,35.0,18.0,30.0,17.5,,18.0,,4.0,12.0,4.0,12.0,ENE,NE,NNE,W,85.0,96.0,84.0,79.0,480.0,38136.0
6.0,Kallakurichi,CO_43,clay,150.0,,dry,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33.0,17.0,32.0,16.5,31.5,15.5,32.5,8.0,6.0,8.0,6.0,,WNW,SE,S,,95.0,81.0,84.0,540.0,35016.0
,Sankarapuram,delux ponni,clay,150.0,75.0,dry,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,20.5,32.0,17.5,28.0,18.0,34.0,16.5,35.0,10.0,12.0,10.0,12.0,SSE,W,,NW,72.7,91.0,83.0,81.0,480.0,
6.0,Chinnasalem,ponmani,alluvial,150.0,75.0,dry,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,18.0,31.0,15.5,34.0,15.0,,15.0,31.5,6.0,6.0,8.0,10.0,E,ENE,NE,NNW,78.6,80.0,92.0,88.0,600.0,32460.0
6.0,Cuddalore,CO_43,clay,150.0,75.0,dry,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,34.0,16.0,30.0,15.5,31.0,16.0,33.0,4.0,10.0,8.0,,SW,,,WSW,72.0,78.0,88.0,85.0,540.0,
6.0,Kurinjipadi,ponmani,alluvial,150.0,75.0,dry,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34.0,,35.0,17.0,32.5,16.0,30.5,10.0,4.0,10.0,6.0,,S,SE,SSE,64.6,85.0,84.0,87.0,600.0,34530.0
6.0,Panruti,,clay,150.0,75.0,dry,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,18.5,21.5,185.2,272.8,,251.7,60.0,65.0,20.0,,18.0,,,33.5,18.0,33.0,4.0,12.0,4.0,12.0,ENE,NE,NNE,,85.0,96.0,84.0,79.0,,37254.0
,KALLAKURICHI,CO_43,alluvial,150.0,75.0,wet,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,18.5,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33.0,17.0,32.0,16.5,31.5,,32.5,,6.0,8.0,6.0,W,WNW,SE,,88.5,95.0,81.0,84.0,540.0,32952.0
6.0,Sankarapuram,ponmani,alluvial,,75.0,wet,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,,21.9,185.6,272.4,166.1,250.9,,64.8,20.5,32.0,17.5,28.0,18.0,34.0,16.5,35.0,10.0,,10.0,12.0,SSE,W,SW,NW,72.7,91.0,83.0,81.0,600.0,35178.0
6.0,Chinnasalem,,CLAY,,75.0,wet,120.0,6.0,240.0,12.0,162.78,62.28,,3600.0,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,18.0,31.0,15.5,34.0,15.0,33.0,15.0,31.5,6.0,6.0,8.0,10.0,E,,NE,,78.6,80.0,92.0,88.0,480.0,
6.0,Cuddalore,CO_43,alluvial,150.0,75.0,wet,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,18.5,,16.0,,15.5,,16.0,33.0,4.0,,8.0,10.0,SW,W,,WSW,72.0,78.0,88.0,,540.0,35238.0
6.0,Kurinjipadi,delux ponni,clay,150.0,75.0,wet,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,,20.4,187.2,270.8,167.0,250.0,,64.0,19.5,,18.5,35.0,17.0,32.5,16.0,30.5,10.0,4.0,10.0,6.0,NW,S,,SSE,64.6,85.0,84.0,87.0,,
6.0,Panruti,PONMANI,ALLUVIAL,150.0,75.0,,120.0,6.0,,12.0,162.78,62.28,90.0,3600.0,18.5,,,272.8,,,60.0,65.0,20.0,35.0,18.0,30.0,,33.5,18.0,33.0,4.0,12.0,4.0,12.0,ENE,NE,NNE,W,85.0,96.0,84.0,79.0,600.0,35784.0
6.0,Kallakurichi,ponmani,clay,150.0,75.0,wet,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,,21.5,185.2,272.8,165.3,251.7,60.0,65.0,19.0,33.0,17.0,32.0,16.5,,15.5,32.5,8.0,6.0,8.0,,W,WNW,SE,S,88.5,95.0,81.0,84.0,600.0,33030.0
6.0,Sankarapuram,ponmani,alluvial,,75.0,dry,120.0,6.0,240.0,12.0,162.78,,90.0,3600.0,18.1,21.9,,272.4,166.1,250.9,60.2,64.8,20.5,,17.5,28.0,18.0,34.0,16.5,35.0,10.0,12.0,10.0,12.0,SSE,W,SW,NW,72.7,91.0,83.0,81.0,600.0,33162.0
6.0,CHINNASALEM,PONMANI,clay,150.0,,dry,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,18.1,21.9,185.6,272.4,166.1,250.9,60.2,64.8,18.0,31.0,,,15.0,33.0,15.0,31.5,6.0,6.0,8.0,10.0,E,ENE,NE,,78.6,80.0,92.0,88.0,600.0,32460.0
6.0,Cuddalore,CO_43,clay,150.0,75.0,dry,120.0,6.0,,12.0,162.78,62.28,90.0,3600.0,,20.4,,270.8,167.0,250.0,61.0,64.0,18.5,34.0,16.0,30.0,15.5,31.0,16.0,33.0,4.0,10.0,8.0,10.0,SW,W,NNW,WSW,72.0,78.0,88.0,85.0,540.0,35280.0
6.0,Kurinjipadi,ponmani,alluvial,150.0,75.0,dry,120.0,6.0,240.0,12.0,162.78,62.28,90.0,3600.0,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.5,34.0,18.5,35.0,17.0,32.5,16.0,30.5,10.0,4.0,10.0,6.0,NW,S,SE,SSE,64.6,85.0,84.0,87.0,600.0,32778.0
,Panruti,ponmani,clay,150.0,75.0,dry,120.0,6.0,240.0,,162.78,62.28,90.0,3600.0,,21.5,185.2,272.8,165.3,251.7,60.0,65.0,20.0,35.0,18.0,30.0,17.5,33.5,18.0,33.0,4.0,12.0,4.0,12.0,ENE,NE,NNE,,85.0,96.0,84.0,79.0,600.0,35058.0
